"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"221","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","60","1","indent","Expected indentation of 12 spaces but found 8.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"222","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","60","12","newline-per-chained-call","Expected line break before `.catch`.","https://eslint.org/docs/latest/rules/newline-per-chained-call","layout","eslint-lwc"
"223","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","60","19","arrow-parens","Expected parentheses around arrow function argument.","https://eslint.org/docs/latest/rules/arrow-parens","layout","eslint-lwc"
"224","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","60","28","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"225","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","61","1","indent","Expected indentation of 16 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"226","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","61","13","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
"227","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","62","1","indent","Expected indentation of 16 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"228","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","62","32","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"229","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","63","1","indent","Expected indentation of 12 spaces but found 8.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"230","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","63","12","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"231","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","64","1","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"232","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","65","1","indent","Expected indentation of 8 spaces but found 11.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"233","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","65","12","capitalized-comments","Comments should not begin with a lowercase character.","https://eslint.org/docs/latest/rules/capitalized-comments","suggestion","eslint-lwc"
